selected_tau_track_fraction,selected_memory_column,baseline_test_rmse,augmented_test_rmse,fractional_test_improvement,permutation
0.02,memory_tau_0.02,0.28414664836272024,0.2807161297596545,0.012073056722057884,95
0.02,memory_tau_0.02,0.28414664836272024,0.28063552983153456,0.012356712815080108,96
0.02,memory_tau_0.02,0.28414664836272024,0.28067287969460286,0.01222526708702554,97
0.02,memory_tau_0.02,0.28414664836272024,0.28075574808198533,0.011933627583762105,98
0.02,memory_tau_0.02,0.28414664836272024,0.2806782743291118,0.012206281698529768,99
0.02,memory_tau_0.02,0.28414664836272024,0.28064540144077343,0.01232197156686987,100
0.02,memory_tau_0.02,0.28414664836272024,0.280711975175749,0.012087677988680075,101
0.02,memory_tau_0.02,0.28414664836272024,0.2807221030796059,0.012052034760384888,102
0.02,memory_tau_0.02,0.28414664836272024,0.28068649191094175,0.012177361484698985,103
0.02,memory_tau_0.02,0.28414664836272024,0.280774938892511,0.011866089181897336,104
0.02,memory_tau_0.02,0.28414664836272024,0.280511174979994,0.012794356025925978,105
0.02,memory_tau_0.02,0.28414664836272024,0.28071906241430405,0.012062735802678873,106
0.02,memory_tau_0.02,0.28414664836272024,0.2807061409387883,0.012108210474261987,107
0.05,memory_tau_0.05,0.28414664836272024,0.28098132664868164,0.011139746790178545,108
0.02,memory_tau_0.02,0.28414664836272024,0.28064370633480773,0.01232793716940459,109
0.02,memory_tau_0.02,0.28414664836272024,0.28078777076638906,0.011820929846209196,110
0.05,memory_tau_0.05,0.28414664836272024,0.2809332153474167,0.011309065349950907,111
0.02,memory_tau_0.02,0.28414664836272024,0.28069550257575676,0.012145650166381727,112
0.02,memory_tau_0.02,0.28414664836272024,0.2805748455392899,0.012570279621496157,113
0.02,memory_tau_0.02,0.28414664836272024,0.28061520175211324,0.012428253618177555,114
0.02,memory_tau_0.02,0.28414664836272024,0.2807349313526803,0.012006888097039273,115
0.02,memory_tau_0.02,0.28414664836272024,0.28072731917975874,0.01203367768954518,116
0.02,memory_tau_0.02,0.28414664836272024,0.28063735052799216,0.012350305220733701,117
0.02,memory_tau_0.02,0.28414664836272024,0.28061561334174945,0.012426805106859267,118
0.02,memory_tau_0.02,0.28414664836272024,0.2806448485575017,0.01232391733422242,119
0.02,memory_tau_0.02,0.28414664836272024,0.2806395787136518,0.01234246354576591,120
0.02,memory_tau_0.02,0.28414664836272024,0.2807122897883213,0.01208657076966433,121
0.02,memory_tau_0.02,0.28414664836272024,0.28060891758748274,0.012450369538483878,122
